#
# Derot pos    rerot pos   CL X     CL Y

30.0             268.8    -91.4     -6.4
60.0             253.8   -100.0    -20.6
90.0             238.8    -99.6    -36.0
120.0            223.8    -90.0    -48.0
147.7            209.9    -63.0    -65.0
180.0            193.8    -38.3    -62.1
210.0            178.8    -24.8    -54.4
240.0            163.8    -16.2    -43.0
270.0            148.8    -15.1    -25.6
300.0            133.8    -22.4    -10.2
330.0            118.8    -44.2     -1.0
360.0            103.8    -68.5     -2.4
